operation_id,order_id,batch_id,batch_index,batch_quantity,sequence_index,machine_group_required,preferred_machine_id,operation_quantity,unit_processing_time_minutes,processing_time_minutes,setup_time_minutes,total_duration_minutes,release_time,deadline,promised_date,is_outsourcable
ORD_001_B01_OP_01,ORD_001,ORD_001_B01,1,5,1,CUT,M_CUT_01,5,10,50,10,60,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,True
ORD_001_B01_OP_02,ORD_001,ORD_001_B01,1,5,2,WELD,M_WELD_02,5,5,25,20,45,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B01_OP_03,ORD_001,ORD_001_B01,1,5,3,PAINT,M_PAINT_01,5,10,50,15,65,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B01_OP_04,ORD_001,ORD_001_B01,1,5,4,ASSY,M_ASSY_01,5,5,25,15,40,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,True
ORD_001_B01_OP_05,ORD_001,ORD_001_B01,1,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B02_OP_01,ORD_001,ORD_001_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B02_OP_02,ORD_001,ORD_001_B02,2,5,2,WELD,M_WELD_02,5,5,25,20,45,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B02_OP_03,ORD_001,ORD_001_B02,2,5,3,PAINT,M_PAINT_01,5,10,50,15,65,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B02_OP_04,ORD_001,ORD_001_B02,2,5,4,ASSY,M_ASSY_01,5,5,25,15,40,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B02_OP_05,ORD_001,ORD_001_B02,2,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B03_OP_01,ORD_001,ORD_001_B03,3,2,1,CUT,M_CUT_01,2,10,20,10,30,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B03_OP_02,ORD_001,ORD_001_B03,3,2,2,WELD,M_WELD_02,2,5,10,20,30,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B03_OP_03,ORD_001,ORD_001_B03,3,2,3,PAINT,M_PAINT_01,2,10,20,15,35,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B03_OP_04,ORD_001,ORD_001_B03,3,2,4,ASSY,M_ASSY_01,2,5,10,15,25,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,False
ORD_001_B03_OP_05,ORD_001,ORD_001_B03,3,2,5,PACK,M_PACK_01,2,5,10,5,15,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,True
ORD_002_B01_OP_01,ORD_002,ORD_002_B01,1,5,1,CUT,M_CUT_02,5,10,50,10,60,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B01_OP_02,ORD_002,ORD_002_B01,1,5,2,WELD,M_WELD_01,5,15,75,20,95,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B01_OP_03,ORD_002,ORD_002_B01,1,5,3,PAINT,M_PAINT_01,5,5,25,25,50,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B01_OP_04,ORD_002,ORD_002_B01,1,5,4,ASSY,M_ASSY_01,5,5,25,10,35,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B01_OP_05,ORD_002,ORD_002_B01,1,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B02_OP_01,ORD_002,ORD_002_B02,2,5,1,CUT,M_CUT_02,5,10,50,10,60,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
