order_id,product_family,order_type,order_quantity,target_batch_size,num_batches,priority,priority_label,release_time,deadline,promised_date,customer_segment
ORD_001,FRAME_A,MTO,12,5,3,3,normal,2026-04-20 08:05:00,2026-04-21 22:50:00,2026-04-21 22:50:00,OEM
ORD_002,FRAME_A,MTO,15,5,3,2,high,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,Distributor
ORD_003,FRAME_A,MTO,12,5,3,4,low,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,OEM
ORD_004,FRAME_B,MTO,20,5,4,4,low,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,Distributor
ORD_005,KIT_C,MTO,8,5,2,3,normal,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,OEM
ORD_006,KIT_C,MTO,6,5,2,2,high,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,Service
ORD_007,FRAME_A,MTO,12,5,3,3,normal,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,OEM
ORD_008,FRAME_A,MTO,12,5,3,2,high,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,Service
ORD_009,KIT_C,MTO,6,5,2,2,high,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,Rush
ORD_010,KIT_C,MTO,10,5,2,2,high,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,Distributor
ORD_011,FRAME_B,MTO,10,5,2,3,normal,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,Distributor
ORD_012,KIT_C,MTO,20,5,4,4,low,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,Rush
ORD_013,MODULE_D,MTO,10,5,2,2,high,2026-04-20 09:00:00,2026-04-22 06:59:00,2026-04-22 06:59:00,Rush
ORD_014,FRAME_B,MTO,10,5,2,2,high,2026-04-20 09:20:00,2026-04-22 06:12:00,2026-04-22 06:12:00,Rush
ORD_015,FRAME_B,MTO,20,5,4,3,normal,2026-04-20 09:20:00,2026-04-22 17:40:00,2026-04-22 17:40:00,Rush
ORD_016,FRAME_B,MTO,8,5,2,2,high,2026-04-20 08:20:00,2026-04-22 05:17:00,2026-04-22 05:17:00,OEM
ORD_017,FRAME_B,MTO,12,5,3,3,normal,2026-04-20 09:15:00,2026-04-22 06:45:00,2026-04-22 06:45:00,Service
ORD_018,MODULE_D,MTO,6,5,2,2,high,2026-04-20 08:45:00,2026-04-21 20:19:00,2026-04-21 20:19:00,Rush
ORD_019,KIT_C,MTO,12,5,3,3,normal,2026-04-20 08:10:00,2026-04-21 22:01:00,2026-04-21 22:01:00,Distributor
ORD_020,MODULE_D,MTO,20,5,4,4,low,2026-04-20 08:40:00,2026-04-22 16:50:00,2026-04-22 16:50:00,OEM
