,baseline,replanned,delta
num_scheduled_operations,212.0,212.0,0.0
num_orders,20.0,20.0,0.0
num_mto_orders,20.0,20.0,0.0
otif_orders,19.0,19.0,0.0
otif_rate,0.95,0.95,0.0
mto_otif_orders,19.0,19.0,0.0
mto_otif_rate,0.95,0.95,0.0
weighted_otif_rate,0.9777777777777777,0.9777777777777777,0.0
missed_otif_orders,1.0,1.0,0.0
missed_mto_otif_orders,1.0,1.0,0.0
late_orders,1.0,1.0,0.0
late_mto_orders,1.0,1.0,0.0
total_order_quantity,241.0,241.0,0.0
completed_quantity_by_deadline,226.0,236.0,10.0
average_fill_rate_by_deadline,0.9625,0.9875,0.025000000000000022
mto_average_fill_rate_by_deadline,0.9625,0.9875,0.025000000000000022
makespan_minutes,4470.0,4440.0,-30.0
total_tardiness_minutes,768.0,738.0,-30.0
priority_weighted_tardiness,768.0,738.0,-30.0
machine_idle_minutes_inside_used_windows,1320.0,1215.0,-105.0
average_operation_shift_minutes_vs_previous,,464.29245283018867,
changed_operations_vs_previous,,186.0,
