operation_id,order_id,sequence_index,machine_group_required,machine_id,start_minute,end_minute,start_time,end_time,processing_time_minutes,setup_time_minutes,scheduled_duration_minutes,active_work_minutes,was_in_progress_at_replan
ORD_009_OP_01,ORD_009,1,CUT,M_CUT_01,10,80,2026-04-20 08:10:00,2026-04-20 09:20:00,50,20,70,70,False
ORD_026_OP_01,ORD_026,1,WELD,M_WELD_01,10,75,2026-04-20 08:10:00,2026-04-20 09:15:00,55,10,65,65,False
ORD_006_OP_01,ORD_006,1,CUT,M_CUT_02,15,105,2026-04-20 08:15:00,2026-04-20 09:45:00,80,10,90,90,False
ORD_026_OP_02,ORD_026,2,PAINT,M_PAINT_01,75,205,2026-04-20 09:15:00,2026-04-20 11:25:00,100,30,130,130,False
ORD_018_OP_01,ORD_018,1,WELD,M_WELD_02,75,190,2026-04-20 09:15:00,2026-04-20 11:10:00,95,20,115,115,False
ORD_009_OP_02,ORD_009,2,ASSY,M_ASSY_02,80,165,2026-04-20 09:20:00,2026-04-20 10:45:00,65,20,85,85,False
ORD_028_OP_01,ORD_028,1,CUT,M_CUT_01,80,160,2026-04-20 09:20:00,2026-04-20 10:40:00,75,5,80,80,False
ORD_010_OP_01,ORD_010,1,CUT,M_CUT_02,105,135,2026-04-20 09:45:00,2026-04-20 10:15:00,20,10,30,30,False
ORD_010_OP_02,ORD_010,2,ASSY,M_ASSY_01,135,225,2026-04-20 10:15:00,2026-04-20 11:45:00,85,5,90,90,False
ORD_012_OP_01,ORD_012,1,CUT,M_CUT_02,135,225,2026-04-20 10:15:00,2026-04-20 11:45:00,75,15,90,90,False
ORD_016_OP_01,ORD_016,1,CUT,M_CUT_01,160,215,2026-04-20 10:40:00,2026-04-20 11:35:00,40,15,55,55,False
ORD_028_OP_02,ORD_028,2,WELD,M_WELD_01,160,275,2026-04-20 10:40:00,2026-04-20 12:35:00,110,5,115,115,False
ORD_006_OP_02,ORD_006,2,ASSY,M_ASSY_02,165,240,2026-04-20 10:45:00,2026-04-20 12:00:00,55,20,75,75,False
ORD_009_OP_03,ORD_009,3,PACK,M_PACK_01,165,215,2026-04-20 10:45:00,2026-04-20 11:35:00,50,0,50,50,False
ORD_016_OP_02,ORD_016,2,WELD,M_WELD_02,216,326,2026-04-20 11:36:00,2026-04-20 13:26:00,90,20,110,110,False
ORD_012_OP_02,ORD_012,2,ASSY,M_ASSY_01,225,375,2026-04-20 11:45:00,2026-04-20 14:15:00,140,10,150,150,False
ORD_029_OP_01,ORD_029,1,CUT,M_CUT_02,225,320,2026-04-20 11:45:00,2026-04-20 13:20:00,90,5,95,95,False
ORD_021_OP_01,ORD_021,1,CUT,M_CUT_01,226,321,2026-04-20 11:46:00,2026-04-20 13:21:00,85,10,95,95,False
ORD_026_OP_03,ORD_026,3,ASSY,M_ASSY_02,240,355,2026-04-20 12:00:00,2026-04-20 13:55:00,105,10,115,115,False
ORD_006_OP_03,ORD_006,3,PACK,M_PACK_01,240,275,2026-04-20 12:00:00,2026-04-20 12:35:00,30,5,35,35,False
ORD_028_OP_03,ORD_028,3,PAINT,M_PAINT_01,275,360,2026-04-20 12:35:00,2026-04-20 14:00:00,55,30,85,85,False
ORD_001_OP_01,ORD_001,1,CUT,M_CUT_02,320,355,2026-04-20 13:20:00,2026-04-20 13:55:00,20,15,35,35,False
ORD_029_OP_02,ORD_029,2,WELD,M_WELD_01,320,455,2026-04-20 13:20:00,2026-04-20 15:35:00,110,25,135,135,False
ORD_024_OP_01,ORD_024,1,CUT,M_CUT_01,321,406,2026-04-20 13:21:00,2026-04-20 14:46:00,65,20,85,85,False
ORD_022_OP_01,ORD_022,1,CUT,M_CUT_02,355,415,2026-04-20 13:55:00,2026-04-20 14:55:00,50,10,60,60,False
ORD_001_OP_02,ORD_001,2,WELD,M_WELD_02,355,450,2026-04-20 13:55:00,2026-04-20 15:30:00,75,20,95,95,False
ORD_028_OP_04,ORD_028,4,ASSY,M_ASSY_02,360,460,2026-04-20 14:00:00,2026-04-20 15:40:00,90,10,100,100,False
ORD_010_OP_03,ORD_010,3,PACK,M_PACK_01,360,405,2026-04-20 14:00:00,2026-04-20 14:45:00,45,0,45,45,False
ORD_018_OP_02,ORD_018,2,PAINT,M_PAINT_01,360,460,2026-04-20 14:00:00,2026-04-20 15:40:00,85,15,100,100,False
ORD_021_OP_02,ORD_021,2,ASSY,M_ASSY_01,375,455,2026-04-20 14:15:00,2026-04-20 15:35:00,60,20,80,80,False
ORD_012_OP_03,ORD_012,3,PACK,M_PACK_01,405,450,2026-04-20 14:45:00,2026-04-20 15:30:00,40,5,45,45,False
ORD_019_OP_01,ORD_019,1,CUT,M_CUT_02,415,500,2026-04-20 14:55:00,2026-04-20 16:20:00,65,20,85,85,False
ORD_005_OP_01,ORD_005,1,CUT,M_CUT_01,430,540,2026-04-20 15:10:00,2026-04-20 17:00:00,90,20,110,110,False
ORD_024_OP_02,ORD_024,2,WELD,M_WELD_02,451,531,2026-04-20 15:31:00,2026-04-20 16:51:00,55,25,80,80,False
ORD_029_OP_03,ORD_029,3,ASSY,M_ASSY_01,455,540,2026-04-20 15:35:00,2026-04-20 17:00:00,70,15,85,85,False
ORD_018_OP_03,ORD_018,3,ASSY,M_ASSY_02,460,540,2026-04-20 15:40:00,2026-04-20 17:00:00,60,20,80,80,False
ORD_028_OP_05,ORD_028,5,PACK,M_PACK_01,460,505,2026-04-20 15:40:00,2026-04-20 16:25:00,40,5,45,45,False
ORD_001_OP_03,ORD_001,3,PAINT,M_PAINT_01,460,535,2026-04-20 15:40:00,2026-04-20 16:55:00,50,25,75,75,False
ORD_021_OP_03,ORD_021,3,PACK,M_PACK_01,505,525,2026-04-20 16:25:00,2026-04-20 16:45:00,20,0,20,20,False
ORD_016_OP_03,ORD_016,3,ASSY,M_ASSY_01,1440,1495,2026-04-21 08:00:00,2026-04-21 08:55:00,40,15,55,55,False
ORD_005_OP_02,ORD_005,2,ASSY,M_ASSY_02,1440,1570,2026-04-21 08:00:00,2026-04-21 10:10:00,125,5,130,130,False
ORD_007_OP_01,ORD_007,1,CUT,M_CUT_01,1440,1510,2026-04-21 08:00:00,2026-04-21 09:10:00,60,10,70,70,False
ORD_003_OP_01,ORD_003,1,CUT,M_CUT_02,1440,1525,2026-04-21 08:00:00,2026-04-21 09:25:00,80,5,85,85,False
ORD_029_OP_04,ORD_029,4,PACK,M_PACK_01,1440,1485,2026-04-21 08:00:00,2026-04-21 08:45:00,35,10,45,45,False
ORD_024_OP_03,ORD_024,3,PAINT,M_PAINT_01,1440,1535,2026-04-21 08:00:00,2026-04-21 09:35:00,80,15,95,95,False
ORD_022_OP_02,ORD_022,2,WELD,M_WELD_01,1440,1530,2026-04-21 08:00:00,2026-04-21 09:30:00,85,5,90,90,False
ORD_020_OP_01,ORD_020,1,WELD,M_WELD_02,1440,1540,2026-04-21 08:00:00,2026-04-21 09:40:00,85,15,100,100,False
ORD_001_OP_04,ORD_001,4,ASSY,M_ASSY_01,1495,1660,2026-04-21 08:55:00,2026-04-21 11:40:00,150,15,165,165,False
ORD_016_OP_04,ORD_016,4,PACK,M_PACK_01,1495,1520,2026-04-21 08:55:00,2026-04-21 09:20:00,20,5,25,25,False
ORD_023_OP_01,ORD_023,1,CUT,M_CUT_01,1510,1550,2026-04-21 09:10:00,2026-04-21 09:50:00,30,10,40,40,False
ORD_014_OP_01,ORD_014,1,CUT,M_CUT_02,1525,1590,2026-04-21 09:25:00,2026-04-21 10:30:00,55,10,65,65,False
ORD_003_OP_02,ORD_003,2,WELD,M_WELD_01,1530,1625,2026-04-21 09:30:00,2026-04-21 11:05:00,90,5,95,95,False
ORD_022_OP_03,ORD_022,3,PAINT,M_PAINT_01,1535,1615,2026-04-21 09:35:00,2026-04-21 10:55:00,70,10,80,80,False
ORD_007_OP_02,ORD_007,2,WELD,M_WELD_02,1540,1670,2026-04-21 09:40:00,2026-04-21 11:50:00,120,10,130,130,False
ORD_027_OP_01,ORD_027,1,CUT,M_CUT_01,1550,1655,2026-04-21 09:50:00,2026-04-21 11:35:00,90,15,105,105,False
ORD_024_OP_04,ORD_024,4,ASSY,M_ASSY_02,1570,1610,2026-04-21 10:10:00,2026-04-21 10:50:00,35,5,40,40,False
ORD_005_OP_03,ORD_005,3,PACK,M_PACK_01,1570,1615,2026-04-21 10:10:00,2026-04-21 10:55:00,35,10,45,45,False
ORD_008_OP_01,ORD_008,1,CUT,M_CUT_02,1590,1675,2026-04-21 10:30:00,2026-04-21 11:55:00,65,20,85,85,False
ORD_019_OP_02,ORD_019,2,ASSY,M_ASSY_02,1610,1665,2026-04-21 10:50:00,2026-04-21 11:45:00,50,5,55,55,False
ORD_024_OP_05,ORD_024,5,PACK,M_PACK_01,1615,1665,2026-04-21 10:55:00,2026-04-21 11:45:00,40,10,50,50,False
ORD_003_OP_03,ORD_003,3,PAINT,M_PAINT_01,1625,1715,2026-04-21 11:05:00,2026-04-21 12:35:00,80,10,90,90,False
ORD_023_OP_02,ORD_023,2,WELD,M_WELD_01,1626,1691,2026-04-21 11:06:00,2026-04-21 12:11:00,50,15,65,65,False
ORD_030_OP_01,ORD_030,1,CUT,M_CUT_01,1655,1725,2026-04-21 11:35:00,2026-04-21 12:45:00,60,10,70,70,False
ORD_027_OP_02,ORD_027,2,ASSY,M_ASSY_01,1660,1805,2026-04-21 11:40:00,2026-04-21 14:05:00,135,10,145,145,False
ORD_022_OP_04,ORD_022,4,ASSY,M_ASSY_02,1665,1780,2026-04-21 11:45:00,2026-04-21 13:40:00,110,5,115,115,False
ORD_001_OP_05,ORD_001,5,PACK,M_PACK_01,1665,1710,2026-04-21 11:45:00,2026-04-21 12:30:00,45,0,45,45,False
ORD_014_OP_02,ORD_014,2,WELD,M_WELD_02,1670,1780,2026-04-21 11:50:00,2026-04-21 13:40:00,100,10,110,110,False
ORD_025_OP_01,ORD_025,1,CUT,M_CUT_02,1675,1755,2026-04-21 11:55:00,2026-04-21 13:15:00,70,10,80,80,False
ORD_008_OP_02,ORD_008,2,WELD,M_WELD_01,1701,1761,2026-04-21 12:21:00,2026-04-21 13:21:00,45,15,60,60,False
ORD_019_OP_03,ORD_019,3,PACK,M_PACK_01,1710,1770,2026-04-21 12:30:00,2026-04-21 13:30:00,50,10,60,60,False
ORD_011_OP_01,ORD_011,1,CUT,M_CUT_02,1755,1845,2026-04-21 13:15:00,2026-04-21 14:45:00,85,5,90,90,False
ORD_030_OP_02,ORD_030,2,WELD,M_WELD_01,1766,1881,2026-04-21 13:26:00,2026-04-21 15:21:00,90,25,115,115,False
ORD_008_OP_03,ORD_008,3,PAINT,M_PAINT_01,1775,1845,2026-04-21 13:35:00,2026-04-21 14:45:00,40,30,70,70,False
ORD_003_OP_04,ORD_003,4,ASSY,M_ASSY_02,1780,1940,2026-04-21 13:40:00,2026-04-21 16:20:00,145,15,160,160,False
ORD_022_OP_05,ORD_022,5,PACK,M_PACK_01,1780,1840,2026-04-21 13:40:00,2026-04-21 14:40:00,55,5,60,60,False
ORD_025_OP_02,ORD_025,2,WELD,M_WELD_02,1780,1855,2026-04-21 13:40:00,2026-04-21 14:55:00,60,15,75,75,False
ORD_002_OP_01,ORD_002,1,CUT,M_CUT_01,1781,1871,2026-04-21 13:41:00,2026-04-21 15:11:00,85,5,90,90,False
ORD_014_OP_03,ORD_014,3,ASSY,M_ASSY_01,1805,1890,2026-04-21 14:05:00,2026-04-21 15:30:00,75,10,85,85,False
ORD_027_OP_03,ORD_027,3,PACK,M_PACK_01,1840,1885,2026-04-21 14:40:00,2026-04-21 15:25:00,45,0,45,45,False
ORD_017_OP_01,ORD_017,1,CUT,M_CUT_02,1845,1940,2026-04-21 14:45:00,2026-04-21 16:20:00,85,10,95,95,False
ORD_007_OP_03,ORD_007,3,PAINT,M_PAINT_01,1845,1945,2026-04-21 14:45:00,2026-04-21 16:25:00,90,10,100,100,False
ORD_011_OP_02,ORD_011,2,WELD,M_WELD_02,1855,1980,2026-04-21 14:55:00,2026-04-21 17:00:00,115,10,125,125,False
ORD_002_OP_02,ORD_002,2,WELD,M_WELD_01,1881,1966,2026-04-21 15:21:00,2026-04-21 16:46:00,65,20,85,85,False
ORD_008_OP_04,ORD_008,4,ASSY,M_ASSY_01,1890,1955,2026-04-21 15:30:00,2026-04-21 16:35:00,55,10,65,65,False
ORD_014_OP_04,ORD_014,4,PACK,M_PACK_01,1890,1940,2026-04-21 15:30:00,2026-04-21 16:20:00,50,0,50,50,False
ORD_030_OP_03,ORD_030,3,ASSY,M_ASSY_02,1940,1975,2026-04-21 16:20:00,2026-04-21 16:55:00,30,5,35,35,False
ORD_015_OP_01,ORD_015,1,CUT,M_CUT_02,1940,1980,2026-04-21 16:20:00,2026-04-21 17:00:00,35,5,40,40,False
ORD_003_OP_05,ORD_003,5,PACK,M_PACK_01,1940,1965,2026-04-21 16:20:00,2026-04-21 16:45:00,15,10,25,25,False
ORD_008_OP_05,ORD_008,5,PACK,M_PACK_01,1965,1980,2026-04-21 16:45:00,2026-04-21 17:00:00,15,0,15,15,False
ORD_007_OP_04,ORD_007,4,ASSY,M_ASSY_01,2880,3000,2026-04-22 08:00:00,2026-04-22 10:00:00,110,10,120,120,False
ORD_011_OP_03,ORD_011,3,ASSY,M_ASSY_02,2880,2940,2026-04-22 08:00:00,2026-04-22 09:00:00,40,20,60,60,False
ORD_004_OP_01,ORD_004,1,CUT,M_CUT_02,2880,2985,2026-04-22 08:00:00,2026-04-22 09:45:00,85,20,105,105,False
ORD_030_OP_04,ORD_030,4,PACK,M_PACK_01,2880,2910,2026-04-22 08:00:00,2026-04-22 08:30:00,20,10,30,30,False
ORD_017_OP_02,ORD_017,2,WELD,M_WELD_01,2880,2970,2026-04-22 08:00:00,2026-04-22 09:30:00,65,25,90,90,False
ORD_013_OP_01,ORD_013,1,WELD,M_WELD_02,2880,3010,2026-04-22 08:00:00,2026-04-22 10:10:00,110,20,130,130,False
ORD_011_OP_04,ORD_011,4,PACK,M_PACK_01,2940,2970,2026-04-22 09:00:00,2026-04-22 09:30:00,30,0,30,30,False
ORD_002_OP_03,ORD_002,3,PAINT,M_PAINT_01,2965,3045,2026-04-22 09:25:00,2026-04-22 10:45:00,65,15,80,80,False
ORD_017_OP_03,ORD_017,3,ASSY,M_ASSY_02,2970,3080,2026-04-22 09:30:00,2026-04-22 11:20:00,105,5,110,110,False
ORD_023_OP_03,ORD_023,3,ASSY,M_ASSY_01,3000,3140,2026-04-22 10:00:00,2026-04-22 12:20:00,125,15,140,140,False
ORD_007_OP_05,ORD_007,5,PACK,M_PACK_01,3000,3050,2026-04-22 10:00:00,2026-04-22 10:50:00,45,5,50,50,False
ORD_015_OP_02,ORD_015,2,WELD,M_WELD_02,3010,3125,2026-04-22 10:10:00,2026-04-22 12:05:00,95,20,115,115,False
ORD_020_OP_02,ORD_020,2,PAINT,M_PAINT_01,3045,3135,2026-04-22 10:45:00,2026-04-22 12:15:00,75,15,90,90,False
ORD_025_OP_03,ORD_025,3,ASSY,M_ASSY_02,3080,3215,2026-04-22 11:20:00,2026-04-22 13:35:00,115,20,135,135,False
ORD_017_OP_04,ORD_017,4,PACK,M_PACK_01,3080,3120,2026-04-22 11:20:00,2026-04-22 12:00:00,35,5,40,40,False
ORD_004_OP_02,ORD_004,2,WELD,M_WELD_02,3125,3225,2026-04-22 12:05:00,2026-04-22 13:45:00,85,15,100,100,False
ORD_013_OP_02,ORD_013,2,PAINT,M_PAINT_01,3135,3265,2026-04-22 12:15:00,2026-04-22 14:25:00,100,30,130,130,False
ORD_015_OP_03,ORD_015,3,ASSY,M_ASSY_01,3140,3260,2026-04-22 12:20:00,2026-04-22 14:20:00,100,20,120,120,False
ORD_023_OP_04,ORD_023,4,PACK,M_PACK_01,3140,3185,2026-04-22 12:20:00,2026-04-22 13:05:00,35,10,45,45,False
ORD_002_OP_04,ORD_002,4,ASSY,M_ASSY_02,3215,3340,2026-04-22 13:35:00,2026-04-22 15:40:00,115,10,125,125,False
ORD_025_OP_04,ORD_025,4,PACK,M_PACK_01,3215,3245,2026-04-22 13:35:00,2026-04-22 14:05:00,30,0,30,30,False
ORD_004_OP_03,ORD_004,3,ASSY,M_ASSY_01,3260,3305,2026-04-22 14:20:00,2026-04-22 15:05:00,40,5,45,45,False
