operation_id,order_id,sequence_index,machine_group_required,machine_id,start_minute,end_minute,start_time,end_time,processing_time_minutes,setup_time_minutes,scheduled_duration_minutes,active_work_minutes,was_in_progress_at_replan
ORD_009_OP_01,ORD_009,1,CUT,M_CUT_01,10,80,2026-04-20 08:10:00,2026-04-20 09:20:00,50,20,70,70,False
ORD_026_OP_01,ORD_026,1,WELD,M_WELD_01,10,75,2026-04-20 08:10:00,2026-04-20 09:15:00,55,10,65,65,False
ORD_023_OP_01,ORD_023,1,CUT,M_CUT_02,15,55,2026-04-20 08:15:00,2026-04-20 08:55:00,30,10,40,40,False
ORD_029_OP_01,ORD_029,1,CUT,M_CUT_02,55,150,2026-04-20 08:55:00,2026-04-20 10:30:00,90,5,95,95,False
ORD_023_OP_02,ORD_023,2,WELD,M_WELD_02,55,120,2026-04-20 08:55:00,2026-04-20 10:00:00,50,15,65,65,False
ORD_026_OP_02,ORD_026,2,PAINT,M_PAINT_01,75,205,2026-04-20 09:15:00,2026-04-20 11:25:00,100,30,130,130,True
ORD_009_OP_02,ORD_009,2,ASSY,M_ASSY_01,80,165,2026-04-20 09:20:00,2026-04-20 10:45:00,65,20,85,85,True
ORD_012_OP_01,ORD_012,1,CUT,M_CUT_01,80,170,2026-04-20 09:20:00,2026-04-20 10:50:00,75,15,90,90,True
ORD_023_OP_03,ORD_023,3,ASSY,M_ASSY_02,120,260,2026-04-20 10:00:00,2026-04-20 12:20:00,125,15,140,140,True
ORD_018_OP_01,ORD_018,1,WELD,M_WELD_02,120,235,2026-04-20 10:00:00,2026-04-20 11:55:00,95,20,115,115,True
ORD_025_OP_01,ORD_025,1,CUT,M_CUT_02,150,230,2026-04-20 10:30:00,2026-04-20 11:50:00,70,10,80,80,False
ORD_029_OP_02,ORD_029,2,WELD,M_WELD_01,155,290,2026-04-20 10:35:00,2026-04-20 12:50:00,110,25,135,135,False
ORD_009_OP_03,ORD_009,3,PACK,M_PACK_01,165,215,2026-04-20 10:45:00,2026-04-20 11:35:00,50,0,50,50,False
ORD_012_OP_02,ORD_012,2,ASSY,M_ASSY_01,170,320,2026-04-20 10:50:00,2026-04-20 13:20:00,140,10,150,150,False
ORD_004_OP_01,ORD_004,1,CUT,M_CUT_01,170,275,2026-04-20 10:50:00,2026-04-20 12:35:00,85,20,105,105,False
ORD_010_OP_01,ORD_010,1,CUT,M_CUT_02,230,260,2026-04-20 11:50:00,2026-04-20 12:20:00,20,10,30,30,False
ORD_025_OP_02,ORD_025,2,WELD,M_WELD_02,235,310,2026-04-20 11:55:00,2026-04-20 13:10:00,60,15,75,75,False
ORD_018_OP_02,ORD_018,2,PAINT,M_PAINT_01,236,336,2026-04-20 11:56:00,2026-04-20 13:36:00,85,15,100,100,False
ORD_026_OP_03,ORD_026,3,ASSY,M_ASSY_02,260,375,2026-04-20 12:20:00,2026-04-20 14:15:00,105,10,115,115,False
ORD_023_OP_04,ORD_023,4,PACK,M_PACK_01,260,305,2026-04-20 12:20:00,2026-04-20 13:05:00,35,10,45,45,False
ORD_001_OP_01,ORD_001,1,CUT,M_CUT_02,261,296,2026-04-20 12:21:00,2026-04-20 12:56:00,20,15,35,35,False
ORD_021_OP_01,ORD_021,1,CUT,M_CUT_01,275,370,2026-04-20 12:35:00,2026-04-20 14:10:00,85,10,95,95,False
ORD_008_OP_01,ORD_008,1,CUT,M_CUT_02,296,381,2026-04-20 12:56:00,2026-04-20 14:21:00,65,20,85,85,False
ORD_001_OP_02,ORD_001,2,WELD,M_WELD_01,296,391,2026-04-20 12:56:00,2026-04-20 14:31:00,75,20,95,95,False
ORD_004_OP_02,ORD_004,2,WELD,M_WELD_02,310,410,2026-04-20 13:10:00,2026-04-20 14:50:00,85,15,100,100,False
ORD_010_OP_02,ORD_010,2,ASSY,M_ASSY_01,320,410,2026-04-20 13:20:00,2026-04-20 14:50:00,85,5,90,90,False
ORD_012_OP_03,ORD_012,3,PACK,M_PACK_01,320,365,2026-04-20 13:20:00,2026-04-20 14:05:00,40,5,45,45,False
ORD_028_OP_01,ORD_028,1,CUT,M_CUT_01,370,450,2026-04-20 14:10:00,2026-04-20 15:30:00,75,5,80,80,False
ORD_021_OP_02,ORD_021,2,ASSY,M_ASSY_02,375,455,2026-04-20 14:15:00,2026-04-20 15:35:00,60,20,80,80,False
ORD_015_OP_01,ORD_015,1,CUT,M_CUT_02,381,421,2026-04-20 14:21:00,2026-04-20 15:01:00,35,5,40,40,False
ORD_001_OP_03,ORD_001,3,PAINT,M_PAINT_01,391,466,2026-04-20 14:31:00,2026-04-20 15:46:00,50,25,75,75,False
ORD_008_OP_02,ORD_008,2,WELD,M_WELD_01,391,451,2026-04-20 14:31:00,2026-04-20 15:31:00,45,15,60,60,False
ORD_029_OP_03,ORD_029,3,ASSY,M_ASSY_01,410,495,2026-04-20 14:50:00,2026-04-20 16:15:00,70,15,85,85,False
ORD_010_OP_03,ORD_010,3,PACK,M_PACK_01,410,455,2026-04-20 14:50:00,2026-04-20 15:35:00,45,0,45,45,False
ORD_005_OP_01,ORD_005,1,CUT,M_CUT_02,421,531,2026-04-20 15:01:00,2026-04-20 16:51:00,90,20,110,110,False
ORD_015_OP_02,ORD_015,2,WELD,M_WELD_02,421,536,2026-04-20 15:01:00,2026-04-20 16:56:00,95,20,115,115,False
ORD_019_OP_01,ORD_019,1,CUT,M_CUT_01,450,535,2026-04-20 15:30:00,2026-04-20 16:55:00,65,20,85,85,False
ORD_018_OP_03,ORD_018,3,ASSY,M_ASSY_02,455,535,2026-04-20 15:35:00,2026-04-20 16:55:00,60,20,80,80,False
ORD_021_OP_03,ORD_021,3,PACK,M_PACK_01,455,475,2026-04-20 15:35:00,2026-04-20 15:55:00,20,0,20,20,False
ORD_008_OP_03,ORD_008,3,PAINT,M_PAINT_01,466,536,2026-04-20 15:46:00,2026-04-20 16:56:00,40,30,70,70,False
ORD_004_OP_03,ORD_004,3,ASSY,M_ASSY_01,495,540,2026-04-20 16:15:00,2026-04-20 17:00:00,40,5,45,45,False
ORD_029_OP_04,ORD_029,4,PACK,M_PACK_01,495,540,2026-04-20 16:15:00,2026-04-20 17:00:00,35,10,45,45,False
ORD_008_OP_04,ORD_008,4,ASSY,M_ASSY_01,1440,1505,2026-04-21 08:00:00,2026-04-21 09:05:00,55,10,65,65,False
ORD_019_OP_02,ORD_019,2,ASSY,M_ASSY_02,1440,1495,2026-04-21 08:00:00,2026-04-21 08:55:00,50,5,55,55,False
ORD_003_OP_01,ORD_003,1,CUT,M_CUT_02,1440,1525,2026-04-21 08:00:00,2026-04-21 09:25:00,80,5,85,85,False
ORD_004_OP_04,ORD_004,4,PACK,M_PACK_01,1440,1465,2026-04-21 08:00:00,2026-04-21 08:25:00,25,0,25,25,False
ORD_028_OP_02,ORD_028,2,WELD,M_WELD_01,1440,1555,2026-04-21 08:00:00,2026-04-21 09:55:00,110,5,115,115,False
ORD_014_OP_01,ORD_014,1,CUT,M_CUT_01,1443,1508,2026-04-21 08:03:00,2026-04-21 09:08:00,55,10,65,65,False
ORD_005_OP_02,ORD_005,2,ASSY,M_ASSY_02,1495,1625,2026-04-21 08:55:00,2026-04-21 11:05:00,125,5,130,130,False
ORD_001_OP_04,ORD_001,4,ASSY,M_ASSY_01,1505,1670,2026-04-21 09:05:00,2026-04-21 11:50:00,150,15,165,165,False
ORD_008_OP_05,ORD_008,5,PACK,M_PACK_01,1505,1520,2026-04-21 09:05:00,2026-04-21 09:20:00,15,0,15,15,False
ORD_024_OP_01,ORD_024,1,CUT,M_CUT_01,1508,1593,2026-04-21 09:08:00,2026-04-21 10:33:00,65,20,85,85,False
ORD_014_OP_02,ORD_014,2,WELD,M_WELD_02,1508,1618,2026-04-21 09:08:00,2026-04-21 10:58:00,100,10,110,110,False
ORD_019_OP_03,ORD_019,3,PACK,M_PACK_01,1520,1580,2026-04-21 09:20:00,2026-04-21 10:20:00,50,10,60,60,False
ORD_006_OP_01,ORD_006,1,CUT,M_CUT_02,1525,1615,2026-04-21 09:25:00,2026-04-21 10:55:00,80,10,90,90,False
ORD_028_OP_03,ORD_028,3,PAINT,M_PAINT_01,1555,1640,2026-04-21 09:55:00,2026-04-21 11:20:00,55,30,85,85,False
ORD_003_OP_02,ORD_003,2,WELD,M_WELD_01,1555,1650,2026-04-21 09:55:00,2026-04-21 11:30:00,90,5,95,95,False
ORD_027_OP_01,ORD_027,1,CUT,M_CUT_01,1593,1698,2026-04-21 10:33:00,2026-04-21 12:18:00,90,15,105,105,False
ORD_022_OP_01,ORD_022,1,CUT,M_CUT_02,1615,1675,2026-04-21 10:55:00,2026-04-21 11:55:00,50,10,60,60,False
ORD_024_OP_02,ORD_024,2,WELD,M_WELD_02,1618,1698,2026-04-21 10:58:00,2026-04-21 12:18:00,55,25,80,80,False
ORD_014_OP_03,ORD_014,3,ASSY,M_ASSY_02,1625,1710,2026-04-21 11:05:00,2026-04-21 12:30:00,75,10,85,85,False
ORD_005_OP_03,ORD_005,3,PACK,M_PACK_01,1625,1670,2026-04-21 11:05:00,2026-04-21 11:50:00,35,10,45,45,False
ORD_003_OP_03,ORD_003,3,PAINT,M_PAINT_01,1650,1740,2026-04-21 11:30:00,2026-04-21 13:00:00,80,10,90,90,False
ORD_006_OP_02,ORD_006,2,ASSY,M_ASSY_01,1670,1745,2026-04-21 11:50:00,2026-04-21 13:05:00,55,20,75,75,False
ORD_001_OP_05,ORD_001,5,PACK,M_PACK_01,1670,1715,2026-04-21 11:50:00,2026-04-21 12:35:00,45,0,45,45,False
ORD_022_OP_02,ORD_022,2,WELD,M_WELD_01,1675,1765,2026-04-21 11:55:00,2026-04-21 13:25:00,85,5,90,90,False
ORD_030_OP_01,ORD_030,1,CUT,M_CUT_02,1690,1760,2026-04-21 12:10:00,2026-04-21 13:20:00,60,10,70,70,False
ORD_013_OP_01,ORD_013,1,WELD,M_WELD_02,1698,1828,2026-04-21 12:18:00,2026-04-21 14:28:00,110,20,130,130,False
ORD_028_OP_04,ORD_028,4,ASSY,M_ASSY_02,1710,1810,2026-04-21 12:30:00,2026-04-21 14:10:00,90,10,100,100,False
ORD_014_OP_04,ORD_014,4,PACK,M_PACK_01,1715,1765,2026-04-21 12:35:00,2026-04-21 13:25:00,50,0,50,50,False
ORD_002_OP_01,ORD_002,1,CUT,M_CUT_01,1721,1811,2026-04-21 12:41:00,2026-04-21 14:11:00,85,5,90,90,False
ORD_024_OP_03,ORD_024,3,PAINT,M_PAINT_01,1742,1837,2026-04-21 13:02:00,2026-04-21 14:37:00,80,15,95,95,False
ORD_027_OP_02,ORD_027,2,ASSY,M_ASSY_01,1745,1890,2026-04-21 13:05:00,2026-04-21 15:30:00,135,10,145,145,False
ORD_006_OP_03,ORD_006,3,PACK,M_PACK_01,1765,1800,2026-04-21 13:25:00,2026-04-21 14:00:00,30,5,35,35,False
ORD_030_OP_02,ORD_030,2,WELD,M_WELD_01,1766,1881,2026-04-21 13:26:00,2026-04-21 15:21:00,90,25,115,115,False
ORD_017_OP_01,ORD_017,1,CUT,M_CUT_02,1785,1880,2026-04-21 13:45:00,2026-04-21 15:20:00,85,10,95,95,False
ORD_028_OP_05,ORD_028,5,PACK,M_PACK_01,1810,1855,2026-04-21 14:10:00,2026-04-21 14:55:00,40,5,45,45,False
ORD_025_OP_03,ORD_025,3,ASSY,M_ASSY_02,1836,1971,2026-04-21 14:36:00,2026-04-21 16:51:00,115,20,135,135,False
ORD_022_OP_03,ORD_022,3,PAINT,M_PAINT_01,1837,1917,2026-04-21 14:37:00,2026-04-21 15:57:00,70,10,80,80,False
ORD_007_OP_01,ORD_007,1,CUT,M_CUT_01,1880,1950,2026-04-21 15:20:00,2026-04-21 16:30:00,60,10,70,70,False
ORD_011_OP_01,ORD_011,1,CUT,M_CUT_02,1880,1970,2026-04-21 15:20:00,2026-04-21 16:50:00,85,5,90,90,False
ORD_002_OP_02,ORD_002,2,WELD,M_WELD_01,1881,1966,2026-04-21 15:21:00,2026-04-21 16:46:00,65,20,85,85,False
ORD_017_OP_02,ORD_017,2,WELD,M_WELD_02,1883,1973,2026-04-21 15:23:00,2026-04-21 16:53:00,65,25,90,90,False
ORD_027_OP_03,ORD_027,3,PACK,M_PACK_01,1890,1935,2026-04-21 15:30:00,2026-04-21 16:15:00,45,0,45,45,False
ORD_030_OP_03,ORD_030,3,ASSY,M_ASSY_01,1896,1931,2026-04-21 15:36:00,2026-04-21 16:11:00,30,5,35,35,False
ORD_024_OP_04,ORD_024,4,ASSY,M_ASSY_01,1935,1975,2026-04-21 16:15:00,2026-04-21 16:55:00,35,5,40,40,False
ORD_030_OP_04,ORD_030,4,PACK,M_PACK_01,1935,1965,2026-04-21 16:15:00,2026-04-21 16:45:00,20,10,30,30,False
ORD_017_OP_03,ORD_017,3,ASSY,M_ASSY_01,2880,2990,2026-04-22 08:00:00,2026-04-22 09:50:00,105,5,110,110,False
ORD_022_OP_04,ORD_022,4,ASSY,M_ASSY_02,2880,2995,2026-04-22 08:00:00,2026-04-22 09:55:00,110,5,115,115,False
ORD_016_OP_01,ORD_016,1,CUT,M_CUT_02,2880,2935,2026-04-22 08:00:00,2026-04-22 08:55:00,40,15,55,55,False
ORD_024_OP_05,ORD_024,5,PACK,M_PACK_01,2880,2930,2026-04-22 08:00:00,2026-04-22 08:50:00,40,10,50,50,False
ORD_002_OP_03,ORD_002,3,PAINT,M_PAINT_01,2880,2960,2026-04-22 08:00:00,2026-04-22 09:20:00,65,15,80,80,False
ORD_011_OP_02,ORD_011,2,WELD,M_WELD_01,2880,3005,2026-04-22 08:00:00,2026-04-22 10:05:00,115,10,125,125,False
ORD_007_OP_02,ORD_007,2,WELD,M_WELD_02,2880,3010,2026-04-22 08:00:00,2026-04-22 10:10:00,120,10,130,130,False
ORD_025_OP_04,ORD_025,4,PACK,M_PACK_01,2930,2960,2026-04-22 08:50:00,2026-04-22 09:20:00,30,0,30,30,False
ORD_002_OP_04,ORD_002,4,ASSY,M_ASSY_01,2990,3115,2026-04-22 09:50:00,2026-04-22 11:55:00,115,10,125,125,False
ORD_022_OP_05,ORD_022,5,PACK,M_PACK_01,2995,3055,2026-04-22 09:55:00,2026-04-22 10:55:00,55,5,60,60,False
ORD_011_OP_03,ORD_011,3,ASSY,M_ASSY_02,3005,3065,2026-04-22 10:05:00,2026-04-22 11:05:00,40,20,60,60,False
ORD_016_OP_02,ORD_016,2,WELD,M_WELD_01,3005,3115,2026-04-22 10:05:00,2026-04-22 11:55:00,90,20,110,110,False
ORD_007_OP_03,ORD_007,3,PAINT,M_PAINT_01,3010,3110,2026-04-22 10:10:00,2026-04-22 11:50:00,90,10,100,100,False
ORD_020_OP_01,ORD_020,1,WELD,M_WELD_02,3010,3110,2026-04-22 10:10:00,2026-04-22 11:50:00,85,15,100,100,False
ORD_017_OP_04,ORD_017,4,PACK,M_PACK_01,3055,3095,2026-04-22 10:55:00,2026-04-22 11:35:00,35,5,40,40,False
ORD_003_OP_04,ORD_003,4,ASSY,M_ASSY_02,3065,3225,2026-04-22 11:05:00,2026-04-22 13:45:00,145,15,160,160,False
ORD_011_OP_04,ORD_011,4,PACK,M_PACK_01,3095,3125,2026-04-22 11:35:00,2026-04-22 12:05:00,30,0,30,30,False
ORD_020_OP_02,ORD_020,2,PAINT,M_PAINT_01,3110,3200,2026-04-22 11:50:00,2026-04-22 13:20:00,75,15,90,90,False
ORD_016_OP_03,ORD_016,3,ASSY,M_ASSY_01,3115,3170,2026-04-22 11:55:00,2026-04-22 12:50:00,40,15,55,55,False
ORD_002_OP_05,ORD_002,5,PACK,M_PACK_01,3125,3190,2026-04-22 12:05:00,2026-04-22 13:10:00,60,5,65,65,False
ORD_007_OP_04,ORD_007,4,ASSY,M_ASSY_01,3170,3290,2026-04-22 12:50:00,2026-04-22 14:50:00,110,10,120,120,False
ORD_016_OP_04,ORD_016,4,PACK,M_PACK_01,3190,3215,2026-04-22 13:10:00,2026-04-22 13:35:00,20,5,25,25,False
ORD_013_OP_02,ORD_013,2,PAINT,M_PAINT_01,3200,3330,2026-04-22 13:20:00,2026-04-22 15:30:00,100,30,130,130,False
ORD_015_OP_03,ORD_015,3,ASSY,M_ASSY_02,3225,3345,2026-04-22 13:45:00,2026-04-22 15:45:00,100,20,120,120,False
